"artista","musica","generos","key","duracao","popularidade","acustico","discurso","vivacidade","instrumentalidade","energia","tempo","time_signature","sonoridade","dancabilidade","valencia"
"Galantis","Heartbreak Anthem (with David Guetta & Little Mix)","dance pop, edm, electro house, pop, pop dance, tropical house","Cs",183725,75,0.216,0.102,0.0608,0,0.784,124.111,4,-4.878,0.595,0.479
"The Weeknd","Heartless","canadian contemporary r&b, canadian pop, pop","As",198266,80,0.0236,0.15,0.156,1.01e-06,0.746,170.062,4,-5.507,0.537,0.252
"Kanye West","Heartless","chicago rap, rap","As",211000,81,0.0515,0.136,0.248,0,0.647,87.999,4,-5.983,0.79,0.654
"Diplo","Heartless (feat. Morgan Wallen)","edm, electro house, house, moombahton, pop, pop dance, tropical house","B",169226,73,0.275,0.0512,0.0824,0,0.556,111.033,4,-6.417,0.765,0.274
"Ed Sheeran","Hearts Don't Break Around Here","pop, uk pop","G",248413,59,0.719,0.0267,0.162,0,0.366,105.177,3,-7.881,0.604,0.181
"Eminem","Heat","detroit hip hop, hip hop, rap","G",250000,44,0.172,0.273,0.31,0,0.86,99.026,4,-5.386,0.843,0.519
"Glass Animals","Heat Waves","gauze pop, indietronica, shiver pop","B",238805,78,0.44,0.0944,0.0921,6.7e-06,0.525,80.87,4,-6.9,0.761,0.531
"Beyoncé","HEATED","dance pop, pop, r&b","Cs",260769,69,0.0636,0.164,0.265,0.000807,0.732,110.952,4,-5.724,0.785,0.496
"Twenty One Pilots","Heathens","modern rock, rock","E",195920,77,0.0841,0.0286,0.105,3.58e-05,0.396,90.024,4,-9.348,0.732,0.548
"Conan Gray","Heather","bedroom pop, pop","F",198040,84,0.584,0.0333,0.322,0,0.425,102.078,3,-7.301,0.357,0.27
"Lil Baby","Heatin Up (feat. Gunna)","atl hip hop, atl trap, rap, trap","Cs",177314,64,0.0611,0.364,0.0979,0,0.436,129.847,4,-9.435,0.788,0.341
"Calvin Harris","Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)","dance pop, edm, electro house, house, pop, progressive house, uk dance","C",229160,52,0.34,0.0539,0.222,0,0.728,110.165,4,-4.549,0.784,0.713
"Robin Schulz","Heatwave (feat. Akon)","dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, pop rap, tropical house","G",187126,54,0.196,0.063,0.156,0,0.82,107.936,4,-4.323,0.702,0.52
"Avicii","Heaven","dance pop, edm, pop, pop dance, pop rap","A",277261,61,0.0715,0.0275,0.142,0.00982,0.873,122.011,4,-5.65,0.592,0.516
"Julia Michaels","Heaven","alt z, dance pop, electropop, pop, post-teen pop","G",191786,64,0.857,0.0359,0.0838,0,0.371,199.843,3,-9.104,0.552,0.245
"Kane Brown","Heaven","black americana, contemporary country, country, country road","A",179506,69,0.263,0.0306,0.105,0,0.556,80.006,4,-6.544,0.677,0.521
"Khalid","Heaven","pop, pop r&b","Gs",213026,47,0.613,0.0374,0.0679,0.663,0.479,116.989,4,-8.881,0.42,0.11
"Kanye West","Heaven and Hell","chicago rap, rap","C",145301,60,0.0409,0.119,0.152,0,0.422,82.986,4,-7.265,0.764,0.268
"Sia","Heaven Can Wait (feat. Sia, Diplo, and Labrinth)","australian dance, australian pop, dance pop, pop","G",195746,52,0.034,0.0817,0.139,2.6e-05,0.525,167.811,3,-5.915,0.585,0.533
"Kid Cudi","Heaven On Earth","hip hop, ohio hip hop, rap","C",201093,51,0.379,0.0558,0.0765,0.00082,0.61,130.036,4,-6.736,0.786,0.228
"Swedish House Mafia","Heaven Takes You Home (feat. Connie Constance)","dance pop, edm, electro house, pop, pop dance, progressive electro house","C",214071,74,0.0124,0.0379,0.0923,0.00598,0.738,125.037,4,-5.931,0.665,0.0389
"Linkin Park","Heavy (feat. Kiiara)","alternative metal, nu metal, post-grunge, rap metal","A",169800,65,0.0484,0.0706,0.0604,0,0.671,149.982,4,-6.098,0.59,0.438
"Twenty One Pilots","Heavydirtysoul","modern rock, rock","G",234813,66,0.00397,0.0449,0.367,0.00111,0.873,129.989,4,-6.376,0.613,0.392
"Boza","Hecha Pa' Mi","panamanian pop, reggaeton, urbano latino","E",186133,71,0.362,0.0572,0.103,0.000685,0.756,100.07,4,-5.013,0.725,0.828
"RM","Hectic (with Colde)","k-rap","Cs",226189,66,0.0189,0.0473,0.213,7.8e-05,0.735,109.999,4,-6.352,0.695,0.366
"Sia","Helium","australian dance, australian pop, dance pop, pop","E",252320,66,0.551,0.0296,0.0708,0,0.396,136.849,4,-6.678,0.42,0.132
"Sia","Helium (Sia vs. David Guetta & Afrojack)","australian dance, australian pop, dance pop, pop","E",237372,48,0.0977,0.035,0.2,0,0.587,136.915,4,-6.145,0.542,0.243
"Major Lazer","Hell and High Water","dance pop, edm, electro house, moombahton, pop, pop dance, pop rap, tropical house","F",145411,39,0.368,0.262,0.183,3.47e-06,0.771,169.896,4,-5.925,0.474,0.42
"Adele","Hello","british soul, pop, pop soul, uk pop","F",295502,69,0.33,0.0305,0.0854,0,0.43,78.991,4,-6.134,0.578,0.288
"J. Cole","Hello","conscious hip hop, hip hop, north carolina hip hop, rap","A",219173,55,0.0829,0.208,0.106,1.17e-05,0.724,159.991,4,-8.432,0.656,0.318
"Flo Rida","Hello Friday (feat. Jason Derulo)","dance pop, edm, miami hip hop, pop, pop rap","A",201237,44,0.0188,0.113,0.298,3.65e-06,0.881,99.98,4,-4.392,0.768,0.502
"Arctic Monkeys","Hello You","garage rock, modern rock, permanent wave, rock, sheffield indie","E",244932,61,0.276,0.0321,0.193,0.00998,0.452,169.298,4,-9.923,0.394,0.653
"The Beatles","Hello, Goodbye - Remastered 2009","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","C",208840,56,0.306,0.0256,0.414,2.4e-05,0.733,99.307,4,-8.753,0.479,0.806
"Maroon 5","Help Me Out (with Julia Michaels)","pop","B",193603,41,0.461,0.0638,0.101,1.84e-05,0.564,115.092,4,-4.806,0.934,0.543
"The Beatles","Help! - Remastered 2009","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Fs",139560,67,0.188,0.0332,0.0994,0,0.725,95.003,4,-7.576,0.534,0.763
"Juice WRLD","HeMotions","chicago rap, melodic rap","D",187211,61,0.672,0.26,0.106,0,0.755,163.936,4,-7.201,0.562,0.333
"ROSALÍA","HENTAI","r&b en espanol","G",162906,61,0.879,0.406,0.127,0,0.297,124.279,3,-11.273,0.583,0.291
"Alessia Cara","Here","canadian contemporary r&b, canadian pop, dance pop, electropop, pop, post-teen pop","C",199453,61,0.0783,0.104,0.0841,0,0.822,120.493,4,-3.974,0.376,0.327
"Lukas Graham","HERE (For Christmas)","danish pop, pop, scandipop","Gs",240689,52,0.296,0.059,0.148,0,0.625,114.902,4,-5.296,0.742,0.31
"Elvis Presley","Here Comes Santa Claus (Right Down Santa Claus Lane)","rock-and-roll, rockabilly","D",115826,67,0.968,0.0422,0.105,0.0178,0.236,79.576,4,-16.982,0.575,0.829
"Gene Autry","Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version","adult standards, cowboy western, lounge, oklahoma country, traditional country, yodeling","Cs",150266,67,0.799,0.0358,0.275,0,0.371,96.628,4,-11.99,0.834,0.976
"The Beatles","Here Comes The Sun - Remastered 2009","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","A",185733,78,0.0339,0.0347,0.179,0.00248,0.54,129.171,4,-10.484,0.557,0.394
"Kygo","Here for You (feat. Ella Henderson)","edm, pop, pop dance, tropical house","As",244510,56,0.535,0.0416,0.147,0.0153,0.772,105.005,4,-5.995,0.68,0.376
"Mac Miller","Here We Go","hip hop, pittsburgh rap, rap","Fs",167759,53,0.0205,0.466,0.353,0,0.867,75.1,4,-4.668,0.489,0.55
"The Weeknd","Here We Go… Again (feat. Tyler, the Creator)","canadian contemporary r&b, canadian pop, pop","Cs",209777,65,0.345,0.0302,0.588,0,0.623,134.943,4,-4.432,0.469,0.198
"Marshmello","Here With Me","brostep, dance pop, edm, pop, pop dance, progressive electro house","F",156346,70,0.0623,0.0439,0.156,0,0.565,99.961,4,-3.933,0.791,0.181
"d4vd","Here With Me","bedroom pop","E",242484,91,0.534,0.0254,0.128,9.21e-05,0.469,132.023,4,-8.209,0.574,0.288
"Jamie Miller","Here's Your Perfect","pop, pop soul","Fs",158594,73,0.499,0.0551,0.146,0,0.454,113.12,4,-5.335,0.558,0.424
"AFROJACK","Hero","big room, dance pop, dutch house, edm, electro house, pop dance, pop rap, progressive house, tropical house","D",171840,57,0.157,0.0313,0.153,0,0.772,125.001,4,-5.032,0.713,0.523
"Måns Zelmerlöw","Heroes","europop, swedish idol pop, swedish pop","G",190613,53,0.0743,0.0437,0.0491,0,0.791,124.008,4,-4.27,0.484,0.369
"Alesso","Heroes (we could be)","dance pop, edm, electro house, pop, pop dance, tropical house","F",210013,68,0.0305,0.0619,0.343,0,0.748,125.896,4,-4.124,0.503,0.356
"Jonas Brothers","Hesitate","boy band, dance pop, pop, post-teen pop","D",208840,50,0.227,0.0322,0.0889,0,0.485,118.051,4,-7.259,0.622,0.236
"FÄIS","Hey","dutch pop","Fs",215625,53,0.183,0.0372,0.112,1e-04,0.565,127.975,4,-6.619,0.733,0.419
"One Direction","Hey Angel","boy band, pop, post-teen pop, talent show","Gs",240000,57,0.0202,0.0365,0.116,0,0.883,92.215,4,-2.956,0.523,0.35
"Dimitri Vegas & Like Mike","Hey Baby (Dimitri Vegas & Like Mike Vs. Diplo)","belgian dance, belgian edm, big room, dance pop, edm, electro house, pop dance, progressive electro house, tropical house","Fs",191213,34,0.0173,0.125,0.273,0,0.876,179.955,4,-4.561,0.598,0.864
"Sia","Hey Boy (feat. Burna Boy)","australian dance, australian pop, dance pop, pop","Gs",181554,41,0.0457,0.238,0.617,1.15e-06,0.599,185.957,4,-4.743,0.607,0.794
"Avicii","Hey Brother","dance pop, edm, pop, pop dance, pop rap","G",255093,74,0.0309,0.0436,0.0828,4.64e-05,0.78,125.014,4,-4.867,0.545,0.458
"CNCO","Hey DJ","boy band, latin pop, reggaeton","F",206920,64,0.0317,0.0839,0.214,0,0.809,90.006,4,-6.152,0.798,0.471
"5 Seconds of Summer","Hey Everybody!","boy band, dance pop, pop, post-teen pop","A",196937,45,0.000938,0.0316,0.101,0,0.803,126.017,4,-3.737,0.753,0.853
"Lady Gaga","Hey Girl","art pop, dance pop, pop","As",255413,47,0.0562,0.038,0.0688,6.5e-06,0.451,138.024,4,-7.882,0.754,0.622
"Katy Perry","Hey Hey Hey","dance pop, pop","A",214960,47,0.0516,0.0982,0.0521,0,0.703,134.064,4,-5.632,0.653,0.488
"Freddy Kalas","Hey Ho","norwegian pop","G",174946,34,0.226,0.051,0.07,0,0.589,79.987,4,-5.894,0.726,0.607
"The Beatles","Hey Jude - Remastered 2015","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","As",425653,70,0.0112,0.0261,0.088,1.38e-05,0.607,147.207,4,-7.7,0.386,0.532
"KYLE","Hey Julie! (feat. Lil Yachty)","pop, pop rap, rap, viral rap","B",156442,46,0.0446,0.293,0.122,9.52e-06,0.505,161.059,4,-5.829,0.801,0.757
"Panic! At The Disco","Hey Look Ma, I Made It","modern rock","F",169666,64,0.0137,0.0695,0.121,0,0.833,107.936,4,-3.337,0.577,0.58
"Pitbull","Hey Ma (with Pitbull & J Balvin feat. Camila Cabello)","dance pop, miami hip hop, pop, pop rap","A",194880,58,0.0243,0.171,0.108,3.4e-06,0.957,106.002,4,-3.115,0.694,0.505
"David Guetta","Hey Mama","big room, dance pop, edm, pop, pop dance","A",192560,45,0.24,0.151,0.325,0,0.73,85.979,4,-4.091,0.596,0.524
"Sunstroke Project","Hey Mamma","moldovan pop","As",179625,30,0.231,0.113,0.0681,0.00983,0.806,110.098,4,-5.946,0.833,0.64
"Ozuna","Hey Mor","puerto rican pop, reggaeton, trap latino, urbano latino","Cs",196600,82,0.00302,0.289,0.0992,0.000237,0.589,98.002,4,-6.713,0.901,0.399
"Taylor Swift","Hey Stephen (Taylor’s Version)","pop","Fs",254254,62,0.106,0.0296,0.0934,0,0.571,115.99,4,-6.135,0.788,0.797
"Outkast","Hey Ya!","atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop","E",235213,78,0.103,0.0664,0.174,0.000532,0.974,79.526,4,-2.261,0.727,0.965
"Baby Tate","Hey, Mickey!","alternative r&b, pop, rap, trap queen, viral rap","D",115555,81,0.579,0.0587,0.167,0,0.507,134.978,4,-11.952,0.912,0.725
"Lil Baby","Heyy","atl hip hop, atl trap, rap, trap","G",192727,64,0.00256,0.268,0.0797,0,0.666,87.932,5,-4.525,0.493,0.164
"Roddy Ricch","hibachi (feat. Kodak Black & 21 Savage)","melodic rap, rap, trap","F",170413,61,0.0191,0.303,0.415,0,0.522,172.946,4,-8.74,0.681,0.219
"Juice WRLD","Hide (feat. Seezyn)","chicago rap, melodic rap","F",205800,71,0.0622,0.0752,0.157,0,0.639,149.996,4,-5.017,0.715,0.151
"Daya","Hide Away","alt z, dance pop, edm, electropop, pop, pop dance, post-teen pop, tropical house","B",191368,63,0.222,0.0853,0.0651,2.29e-06,0.826,94.997,4,-3.672,0.884,0.465
"Kiesza","Hideaway","electropop, pop edm","G",251986,61,0.0862,0.0483,0.0772,0.00696,0.72,122.993,4,-4.135,0.838,0.203
"The Chainsmokers","High","dance pop, edm, electropop, pop, pop dance, tropical house","C",175163,69,0.0492,0.031,0.142,0,0.787,134.981,4,-6.178,0.601,0.525
"Miley Cyrus","High","pop","F",196760,63,0.00481,0.035,0.299,1.03e-05,0.54,72.995,4,-6.862,0.474,0.239
"Young Thug","High (feat. Elton John)","atl hip hop, atl trap, gangster rap, hip hop, melodic rap, pop rap, rap, southern hip hop, trap","As",195160,53,0.223,0.0776,0.406,5.84e-05,0.498,126.972,4,-10.615,0.759,0.244
"Lana Del Rey","High By The Beach","art pop, pop","B",257573,67,0.244,0.0346,0.12,0.00788,0.486,131.988,4,-11.067,0.536,0.0968
"Future","High Demand","atl hip hop, rap, southern hip hop, trap","F",211691,43,0.0175,0.288,0.117,1.54e-05,0.465,141.957,4,-7.123,0.907,0.188
"Chris Brown","High End (feat. Future & Young Thug)","dance pop, r&b","As",202213,47,0.0144,0.209,0.124,1.52e-06,0.503,153.047,4,-5.646,0.725,0.0636
"Roddy Ricch","High Fashion (feat. Mustard)","melodic rap, rap, trap","B",220486,68,0.269,0.114,0.3,0,0.499,97.956,4,-8.442,0.831,0.511
"J. Cole","High For Hours","conscious hip hop, hip hop, north carolina hip hop, rap","Cs",251308,57,0.449,0.424,0.16,0,0.446,95.518,4,-9.818,0.87,0.684
"Panic! At The Disco","High Hopes","modern rock","F",190946,77,0.193,0.0618,0.064,0,0.904,82.014,4,-2.729,0.579,0.681
"Joji","High Hopes (feat. Omar Apollo)","viral pop","Cs",182400,57,0.472,0.193,0.102,0.0572,0.369,150.076,4,-9.12,0.719,0.364
"Taylor Swift","High Infidelity","pop","As",231475,73,0.723,0.0864,0.0885,0,0.529,87.862,4,-10.179,0.646,0.755
"187 Strassenbande","High Life","german hip hop, hamburg hip hop","D",241424,47,0.0426,0.379,0.327,0,0.815,95.464,4,-5.192,0.65,0.452
"Martin Garrix","High On Life (feat. Bonn)","dance pop, dutch edm, edm, electro house, pop, pop dance, progressive house, tropical house","Fs",230761,67,0.0129,0.0311,0.111,0,0.486,128.038,4,-6.431,0.414,0.368
"Shawn Mendes","Higher","canadian pop, dance pop, pop, viral pop","As",160143,52,0.0167,0.0558,0.314,1.58e-05,0.783,120.049,4,-4.419,0.748,0.935
"Rihanna","Higher","barbadian pop, dance pop, pop, urban contemporary","Ds",120626,60,0.112,0.0416,0.119,1.01e-06,0.567,153.199,3,-4.191,0.292,0.392
"Eminem","Higher","detroit hip hop, hip hop, rap","E",222036,67,0.0143,0.218,0.674,0,0.82,148,4,-4.758,0.733,0.525
"Clean Bandit","Higher (feat. iann dior)","dance pop, edm, pop, pop dance, pop rap, post-teen pop, tropical house, uk dance, uk funky","Cs",203953,56,0.336,0.0363,0.137,1.4e-05,0.736,104.018,4,-5.18,0.716,0.542
"DJ Khaled","Higher (feat. Nipsey Hussle & John Legend)","hip hop, miami hip hop, pop rap, rap, southern hip hop, trap","G",176874,46,0.0949,0.245,0.226,0,0.956,83.655,4,-1.996,0.351,0.446
"Martin Garrix","Higher Ground (feat. John Martin)","dance pop, dutch edm, edm, electro house, pop, pop dance, progressive house, tropical house","Cs",206279,54,0.0841,0.0321,0.0889,0,0.619,128.318,4,-5.28,0.442,0.382
"Justin Timberlake","Higher Higher","dance pop, pop","Fs",258506,43,0.149,0.0517,0.157,1.22e-05,0.62,89.955,4,-6.634,0.658,0.522
"Kygo","Higher Love","edm, pop, pop dance, tropical house","Gs",228267,72,0.0151,0.0324,0.101,5.71e-06,0.678,103.952,4,-7.159,0.693,0.404
"Coldplay","Higher Power","permanent wave, pop","As",211294,69,0.00711,0.0449,0.261,2.44e-05,0.828,178.032,4,-6.023,0.507,0.489
"Migos","Higher We Go - Intro","atl hip hop, hip hop, pop rap, rap, trap","Gs",255849,45,0.0936,0.0859,0.22,0,0.547,152.007,4,-3.938,0.825,0.184
"Travis Scott","HIGHEST IN THE ROOM","rap, slap house","G",175720,78,0.0546,0.0317,0.21,5.83e-06,0.427,76.469,4,-8.764,0.598,0.0605
"Kanye West","Highlights","chicago rap, rap","D",199866,54,0.00572,0.208,0.313,0,0.626,101.971,4,-6.244,0.547,0.346
"AC/DC","Highway to Hell","australian rock, hard rock, rock","Fs",208400,80,0.061,0.133,0.156,0.00158,0.913,115.728,4,-4.793,0.574,0.423
"Sam Smith","HIM","pop, uk pop","F",190087,47,0.587,0.0299,0.24,5.39e-05,0.248,85.05,4,-11.115,0.575,0.328
"G-Eazy","Him & I","hip hop, indie pop rap, oakland hip hop, pop, pop rap, rap","D",268866,58,0.0534,0.0883,0.308,0,0.731,87.865,4,-6.343,0.576,0.19
"Anuel AA","Hipócrita","reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino","D",192000,67,0.303,0.0471,0.61,0,0.858,92.05,4,-2.78,0.79,0.79
"Shakira","Hips Don't Lie (feat. Wyclef Jean)","colombian pop, dance pop, latin pop","As",218093,82,0.284,0.0707,0.405,0,0.824,100.024,4,-5.892,0.778,0.758
"Internet Money","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","pop rap, rap, trap, viral rap","G",224042,66,0.116,0.0623,0.12,0,0.707,134.997,4,-5.218,0.792,0.408
"One Direction","History","boy band, pop, post-teen pop, talent show","B",187426,70,0.0352,0.0493,0.064,0,0.699,86.704,4,-4.421,0.655,0.802
"Olivia Holt","History","alt z, dance pop, pop, post-teen pop, social media pop","Cs",203992,53,0.0997,0.0541,0.119,0,0.631,100.968,4,-6.762,0.767,0.541
"Felipe Original","Hit Contagiante","arrochadeira, brega funk, funk carioca","Fs",137125,55,0.132,0.119,0.0942,0,0.684,170.187,4,-7.169,0.819,0.959
"SZA","Hit Different","pop, r&b","C",202007,69,0.199,0.0452,0.0965,0,0.516,120.074,4,-6.371,0.679,0.716
"Logic","Hit My Line","conscious hip hop, dmv rap, hip hop, pop rap, rap","A",265190,51,0.143,0.167,0.46,0,0.786,164.057,4,-5.22,0.62,0.679
"Future","HiTek Tek","atl hip hop, rap, southern hip hop, trap","D",182400,46,0.00102,0.293,0.13,0,0.591,150.057,4,-7.332,0.873,0.188
"Lil Wayne","Hittas","hip hop, new orleans rap, pop rap, rap, trap","D",223617,47,0.274,0.439,0.216,0,0.765,144.049,4,-3.93,0.788,0.666
"The Lumineers","Ho Hey","folk-pop, pop, stomp and holler","C",163133,75,0.765,0.0301,0.0908,0,0.471,79.907,4,-9.182,0.682,0.421
"Salmo","HO PAURA DI USCIRE","italian hip hop, italian underground hip hop, rap sardegna","C",197746,48,0.064,0.388,0.0872,0,0.883,120.079,4,-4.356,0.631,0.585
"MACHETE","HO PAURA DI USCIRE 2 - prod. Mace","italian hip hop, trap italiana","E",177036,56,0.168,0.283,0.545,0,0.853,119.939,4,-5.126,0.838,0.692
"Taylor Swift","hoax","pop","Gs",220042,62,0.966,0.0415,0.133,3.86e-06,0.181,118.819,4,-15.065,0.662,0.429
"MERO","Hobby Hobby","german hip hop","F",153560,48,0.399,0.183,0.136,0,0.741,163.982,4,-6.457,0.743,0.851
"Shirin David","HOES UP G'S DOWN","frauenrap, german hip hop, german pop","Cs",130880,47,0.0598,0.177,0.0881,0.0178,0.692,178.064,4,-7.372,0.72,0.372
"Mc Livinho","Hoje Eu Vou Parar Na Gaiola","funk carioca, funk mtg, funk ostentacao, funk paulista, funk rj","D",177093,57,0.0327,0.404,0.0978,0,0.361,89.809,4,-7.153,0.65,0.844
"Dalex","Hola - Remix","r&b en espanol, reggaeton, urbano latino","C",249520,69,0.471,0.311,0.0767,0,0.672,181.877,4,-5.98,0.655,0.343
"Flo Rida","Hola (feat. Maluma)","dance pop, edm, miami hip hop, pop, pop rap","Gs",192376,49,0.0207,0.0769,0.11,3.04e-05,0.711,113.026,4,-5.693,0.757,0.649
"James Bay","Hold Back The River","neo mellow, pop, pop rock","F",238746,66,0.0526,0.0902,0.0936,0,0.715,134.922,4,-7.364,0.715,0.507
"Elton John","Hold Me Closer","glam rock, mellow gold, piano rock","C",202245,79,0.0746,0.0906,0.197,0.000198,0.75,126.041,4,-4.602,0.667,0.486
"Cornelia Jakobs","Hold Me Closer","swedish pop","Fs",199426,60,0.107,0.0382,0.145,0,0.616,96.819,4,-7.599,0.489,0.168
"Halsey","Hold Me Down","dance pop, electropop, etherpop, indie poptimism, pop","Cs",204785,55,0.279,0.0882,0.119,0,0.744,145.928,4,-4.512,0.677,0.531
"Fall Out Boy","HOLD ME TIGHT OR DON’T","emo, modern rock","Fs",210360,56,0.00699,0.0523,0.108,2.9e-06,0.925,95.987,4,-4.366,0.582,0.788
"Conrad Sewell","Hold Me Up","australian pop","G",206560,36,0.0656,0.033,0.241,1.86e-05,0.748,114.983,4,-5.961,0.619,0.299
"Lewis Capaldi","Hold Me While You Wait","pop, uk pop","B",205686,74,0.443,0.0333,0.0995,0,0.53,106.958,4,-5.507,0.688,0.162
"Jess Glynne","Hold My Hand","dance pop, neo mellow, pop, pop dance, post-teen pop, tropical house, uk pop","C",227343,56,0.00159,0.0289,0.0776,0,0.823,122.977,4,-5.717,0.642,0.431
"Lady Gaga","Hold My Hand","art pop, dance pop, pop","G",225300,75,0.0387,0.0313,0.401,0,0.617,147.708,3,-4.287,0.519,0.222
"Justin Bieber","Hold On","canadian pop, pop","Cs",170813,72,0.0104,0.0431,0.12,0,0.634,140.002,4,-6.068,0.658,0.302
"Adele","Hold On","british soul, pop, pop soul, uk pop","C",366004,64,0.858,0.0433,0.165,1.15e-05,0.364,165.902,4,-7.814,0.366,0.459
"Drake","Hold On, We're Going Home","canadian hip hop, canadian pop, hip hop, rap, toronto rap","Fs",227880,70,0.00411,0.0961,0.0733,3.4e-05,0.414,99.993,4,-7.436,0.773,0.289
"Southside","Hold That Heat (feat. Travis Scott)","atl hip hop","D",221538,66,0.0295,0.0442,0.397,0,0.608,130.045,4,-6.386,0.744,0.0692
"Avicii","Hold The Line (feat. A R I Z O N A)","dance pop, edm, pop, pop dance, pop rap","A",171785,58,0.329,0.0341,0.0803,2.56e-05,0.554,98.045,4,-7.005,0.648,0.372
"Beyoncé","Hold Up","dance pop, pop, r&b","C",221093,65,0.745,0.405,0.521,0,0.397,80.744,4,-11.936,0.524,0.552
"DJ Khaled","Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)","hip hop, miami hip hop, pop rap, rap, southern hip hop, trap","Fs",293120,58,0.195,0.0683,0.141,0,0.681,151.875,3,-4.158,0.525,0.437
"Disclosure","Holding On","edm, house, pop, uk dance","F",315000,48,0.139,0.333,0.241,0.000246,0.804,124.004,4,-5.207,0.71,0.845
"Ellie Goulding","Holding On For Life","dance pop, edm, electropop, indietronica, metropopolis, pop, uk pop","A",255231,32,0.068,0.0439,0.142,0,0.737,113.9,4,-5.39,0.573,0.436
"Lil Nas X","HOLIDAY","lgbtq+ hip hop, pop","F",154997,70,0.12,0.164,0.0832,0,0.511,151.947,4,-6.924,0.81,0.837
"KSI","Holiday","uk hip hop","Gs",193733,60,0.152,0.0878,0.101,0,0.684,87.188,4,-7.347,0.356,0.347
"Little Mix","Holiday","dance pop, girl group, pop, post-teen pop, talent show, uk pop","F",213600,54,0.0875,0.185,0.0618,0,0.68,106.106,4,-6.007,0.691,0.676
"Calvin Harris","Holiday (feat. Snoop Dogg, John Legend & Takeoff)","dance pop, edm, electro house, house, pop, progressive house, uk dance","Fs",169693,46,0.472,0.0773,0.0804,0.00157,0.769,103.991,4,-2.334,0.836,0.585
"Tori Kelly","Hollow","dance pop, pop, post-teen pop","D",211653,29,0.037,0.0362,0.245,4.3e-05,0.527,125.949,4,-7.25,0.415,0.294
"Michael Bublé","Holly Jolly Christmas","adult standards, canadian pop, jazz pop, lounge","C",121526,65,0.857,0.0417,0.0898,0,0.427,151.433,4,-8.639,0.609,0.741
"Sfera Ebbasta","Hollywood (feat. Diplo)","italian hip hop, italian pop, trap italiana, trap latino","D",191869,47,0.153,0.0366,0.0948,0,0.708,137.973,4,-6.336,0.848,0.926
"Gorillaz","Hollywood (feat. Snoop Dogg & Jamie Principle)","alternative hip hop","G",293493,48,0.0249,0.0926,0.211,7.67e-05,0.631,104.126,4,-10.338,0.685,0.72
"Post Malone","Hollywood's Bleeding","dfw rap, melodic rap, rap","E",156266,73,0.331,0.0476,0.103,0,0.646,130.218,4,-3.206,0.405,0.17
"Justin Bieber","Holy (feat. Chance The Rapper)","canadian pop, pop","Fs",212093,69,0.196,0.36,0.0898,0,0.704,86.919,4,-8.056,0.673,0.372
"Future","HOLY GHOST","atl hip hop, rap, southern hip hop, trap","B",170266,54,0.0215,0.31,0.253,2.27e-05,0.719,157.997,4,-4.56,0.784,0.293
"A$AP Rocky","Holy Ghost (feat. Joe Fox)","east coast hip hop, hip hop, rap, trap","As",191200,54,0.127,0.198,0.349,0,0.78,75.549,4,-6.491,0.514,0.331
"Taylor Swift","Holy Ground (Taylor's Version)","pop","A",202960,45,0.0288,0.0638,0.109,0.00218,0.809,156.894,4,-5.623,0.622,0.511
"Trippie Redd","Holy Smokes (feat. Lil Uzi Vert)","melodic rap, rap, trap","Fs",181714,58,0.195,0.368,0.142,0,0.491,184.344,5,-5.703,0.422,0.67
"BTS","HOME","k-pop, k-pop boy group","G",234177,69,0.0144,0.0427,0.194,0,0.799,142.991,4,-4.625,0.633,0.534
"One Direction","Home","boy band, pop, post-teen pop, talent show","A",194906,59,0.0115,0.0853,0.0851,0,0.867,78.814,4,-5.397,0.42,0.63
"Martin Garrix","Home (feat. Bonn)","dance pop, dutch edm, edm, electro house, pop, pop dance, progressive house, tropical house","Gs",239067,50,0.0655,0.0307,0.132,4.07e-06,0.612,128.114,4,-4.855,0.466,0.236
"Machine Gun Kelly","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","ohio hip hop, pop, pop rap","Ds",202804,68,0.00413,0.213,0.0537,0,0.718,82.034,4,-5.232,0.653,0.216
"Maria Mena","Home for Christmas","candy pop, norwegian pop, norwegian singer-songwriter","Ds",232000,39,0.926,0.0454,0.117,0,0.144,134.03,4,-15.021,0.513,0.429
"blink-182","Home Is Such A Lonely Place","pop punk, punk, rock, socal pop punk","D",201480,49,0.00877,0.0324,0.111,1.47e-06,0.672,115.001,4,-5.679,0.331,0.211
"Justin Bieber","Home To Mama","canadian pop, pop","D",203266,47,0.949,0.0683,0.118,0.000147,0.302,90.004,4,-11.119,0.716,0.492
